1, 1000, 349.525, 245.623
1, 4000, 310.689, 275.754
1, 16000, 327.36, 288.77
1, 64000, 331.811, 304.64
1, 256000, 332.017, 316.008
1, 1024000, 330.636, 306.794
1, 4096000, 307.047, 297.031
1, 16384000, 304.196, 298.556
1, 65536000, 315.987, 311.575
2, 1000, 349.525, 295.982
2, 4000, 508.4, 454.747
2, 16000, 593.884, 549.204
2, 64000, 659.547, 584.964
2, 256000, 663.213, 597.422
2, 1024000, 661.477, 603.934
2, 4096000, 592.164, 577.9
2, 16384000, 608.643, 587.176
2, 65536000, 609.275, 581.593
4, 1000, 349.525, 268.806
4, 4000, 798.915, 740.811
4, 16000, 1157.05, 1012.72
4, 64000, 1209.17, 1126.4
4, 256000, 1220.16, 1163.88
4, 1024000, 1226.43, 1034.73
4, 4096000, 1146.09, 889.304
4, 16384000, 1146.95, 925.779
4, 65536000, 1144.49, 1071.41
6, 1000, 466.034, 308.818
6, 4000, 671.089, 578.889
6, 16000, 849.479, 759.332
6, 64000, 888.859, 822.71
6, 256000, 914.601, 846.83
6, 1024000, 899.846, 866.66
6, 4096000, 869.295, 844.833
6, 16384000, 906.338, 863.805
6, 65536000, 1014.07, 878.35
8, 1000, 524.288, 321.889
8, 4000, 798.915, 663.711
8, 16000, 1082.4, 975.66
8, 64000, 1182.54, 1091.12
8, 256000, 1201.05, 1087.71
8, 1024000, 1194.71, 870.871
8, 4096000, 1155.49, 1044.87
8, 16384000, 1152.84, 1066.45
8, 65536000, 1150.12, 1115.77
